strain,DATE,SPECIES SUBTYPE,antibiotic,vector,ACCESSION,"NOTES RE: CONTRUCTION, ORIGIN, PHENOTYPE",STRAIN ACQUIRED FROM PARENT STRAIN,DEPOSITOR,OTHER NOTES,GLYCEROL STOCK LOCATION,BURDEN ASSAY,MINIPREP DNA CONCENTRATION (ng/uL),"SEQUENCED? ""0"" IF NOT",SEQUENCE CONFIRMED?,GFP.inteference,TYPE,SUBPARTS,SHORT DESCRIPTION 
BB103,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J52014,"Plate 4, A11",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,,0,No,F,Composite,2, 
BB104,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J52039,"Plate 4, C11",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,,0,No,F,Composite,2, 
BB105,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23100,"Plate 4, D17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,11.2,4.666666667,No,F,Regulatory,1," ""constitutive promoter family member"""
BB106,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23101,"Plate 4, F17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,12.2,5.083333333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB107,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23102,"Plate 4, H17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,29.4,12.25,No,F,Regulatory,1," ""constitutive promoter family member"""
BB108,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23103,"Plate 4, J17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,8.17,3.404166667,No,F,Regulatory,1," ""constitutive promoter family member"""
BB109,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23104,"Plate 4, L17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,5.21,2.170833333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB110,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23105,"Plate 4, N17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp026,59.1,24.625,No,F,Regulatory,1," ""constitutive promoter family member"""
BB111,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23106,"Plate 4, P17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp026,52.7,21.95833333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB112,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23107,"Plate 4, B19",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,12.9,5.375,No,F,Regulatory,1," ""constitutive promoter family member """
BB113,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23110,"Plate 4, D19",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,11,4.583333333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB114,4.20.19,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23112,"Plate 4, F19",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,13.1,5.458333333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB115,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I746107,"Plate 4, A1",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp036,25.3,10.54166667,No,F,Signalling,8," ""I746101 (AIP sensor infrastructure) + I746105 (Inducible P2 + GFP reporter)"""
BB116,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K525305,"Plate 4, A2",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp036,34,14.16666667,No,F,Composite,1," ""Fusion Protein of S-Layer SgsE and mCitrine"""
BB117,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J23108,"Plate 4, 4c",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006/exp026,,0,No,F,Regulatory,1," ""constitutive promoter family member """
BB118,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J23109,"Plate 4, 4E",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006/exp026,,0,No,F,Regulatory,1," ""constitutive promoter family member """
BB119,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_B0030,"Plate 4, 4G",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006/exp026,1.04,0.433333333,No,F,Regulatory,1," ""RBS.1 (strong) -- modified from R. Weiss"""
BB120,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1188002,"Plate 4, 4I",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,1.79,0.745833333,No,F,RBS,1," ""RTX - Calcium Binding Protein"""
BB121,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_k1218003,"Plate 4, 4K",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,5.8,2.416666667,No,F,Tag,1,
BB122,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_k1218011,"Plate 4, 4M",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,,,0,No,F,Generator,5,
BB123,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_k1184000,"Plate 4, 4O",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,,0,No,F,Composite,10,
BB124,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I746908,"Plate 4, 5C",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,,0,No,F,Signalling,15," ""superfolder GFP driven by pBAD promoter"""
BB125,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K137076,"Plate 4, 5E",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp036,,0,No,F,Regulatory,1," ""AHL inducible production of hydrogen peroxide"""
BB126,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K137019,"Plate 4, 5G",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,,,0,No,F,Regulatory,1," ""AHL receiver + tet inverter + GFP"""
BB127,,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23113,"Plate 4, 19H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,5.48,2.283333333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB128,,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23114,"Plate 4, 19J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,6.88,2.866666667,No,F,Regulatory,1," ""constitutive promoter family member"""
BB129,,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23115,"Plate 4, 19L",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,3.71,1.545833333,No,F,Regulatory,1," ""constitutive promoter family member"""
BB130,,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23116,"Plate 4, 19N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,4.25,1.770833333,No,F,DNA,1," ""constitutive promoter family member"""
BB131,,E. coli DH10B + burden monitor,"kan, amp",BBa_J61002,BBa_J23118,"Plate 4, 21B",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,6.97,2.904166667,No,F,Composite,2," ""constitutive promoter family member"""
BB132,,E. coli DH10B + burden monitor,"kan, amp",pSB1A3,BBa_I13452,"Plate 4, 21D",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,9.88,4.116666667,No,F,Intermediate,2," ""Adds another BioBrick site"""
BB133,,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13500,"Plate 4, 21F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,10.6,4.416666667,No,F,Intermediate,2," ""Screening plasmid intermediate"""
BB134,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608003,"Plate 1, A5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp049/exp046,3,1.25,No,F,Intermediate,2," ""strong Promoter   medium RBS"""
BB135,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_S05050,"Plate 1, B5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,,0,No,F,Regulatory,1," ""B0034:K748002"""
BB136,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608004,"Plate 1, C5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp049/exp046,5.14,12.336,No,F,Intermediate,2," ""strong Promoter   weak RBS"""
BB137,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K819017,"Plate 1, D5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,5.66,2.358333333,No,F,Coding,1," ""Luminesensor repressible SulA408 promoter"""
BB138,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608006,"Plate 1, E5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp049/exp046,4.84,2.016666667,No,F,DNA,1," ""medium Promoter   medium RBS"""
BB139,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0056,"PLate 4, 23B",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,13.3,5.541666667,No,F,Reporter,5," ""cI repressor from phage 434 (no LVA)"""
BB140,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0040,"PLate 4, 23D",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,8.46,3.525,No,F,Reporter,4," ""Spacer.1 (generic)"""
BB141,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13600,"PLate 4, 23F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,16.5,6.875,No,F,Reporter,4," ""Tet with CFP reporter (without LVA tag)"""
BB142,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13001,"PLate 4, 23H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,12.3,5.125,No,F,Composite,2," ""RBS B0030 w/ YFP (-LVA) TT"""
BB143,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13002,"PLate 4, 23J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,16.5,6.875,No,F,Composite,2," ""RBS B0031 w/ YFP (-LVA) TT"""
BB144,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J52022,"Plate 4, 11E",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,15.8,6.583333333,No,F,Generator,4, 
BB145,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J52040,"Plate 4, 11G",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,9.7,4.041666667,No,F,Generator,4, 
BB146,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J45219,"Plate 4, 11I",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,8.05,3.354166667,No,F,Intermediate,12," ""Banana odor enzyme (ATF1) generator"""
BB147,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J45299,"Plate 4, 11K",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,5.44,2.266666667,No,F,Coding,1," ""PchA & PchB enzyme generator"""
BB148,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I732920,"Plate 4, 11M",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,8.07,3.3625,No,F,Device,1," ""B0015 J09855 I732835"""
BB149,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_I746200,"Plate 4, 11O",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,14.5,6.041666667,No,F,Device,1," ""FepA L8T Mutant - Large Diffusion pore for E. coli outer membrane."""
BB150,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150038,"Plate 4, 12A",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp036,4,1.666666667,No,F,Device,1," ""uniCAS RNAimer to target VEGF3"""
BB151,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150039,"Plate 4, 12C",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,7.4,3.083333333,No,F,Device,1," ""uniCAS RNAimer to target VEGF4"""
BB152,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150040,"Plate 4, 12E",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,7.37,3.070833333,No,F,Device,1," ""uniCAS RNAimer to Bla Target 2"""
BB153,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150041,"Plate 4, 12G",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,4.51,1.879166667,No,F,Device,2," ""uniCAS RNaimer to Bla Target 3"""
BB154,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150042,"Plate 4, 12I",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,11.7,4.875,No,F,Terminator,1," ""uniCAS RNaimer to Bla Target 4"""
BB155,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150043,"Plate 4, 12K",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,7.25,3.020833333,No,F,Terminator,1," ""uniCAS RNAimer multiple targets to VEGF 2 and VEGF 3"""
BB156,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0025,"Plate 4, 1F",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp008/exp033,,0,no,F,RBS,1," ""double terminator (B0015)  reversed"""
BB157,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0031,"Plate 4, 1H",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp018/exp049/exp046,,0,no,F,RBS,1," ""RBS.2 (weak) -- derivative of BBa_0030"""
BB158,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0032,"Plate 4, 1J",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp018/exp049/exp046,,0,no,F,RBS,1," ""RBS.3 (medium) -- derivative of BBa_0030"""
BB159,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0033,"Plate 4, 1L",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp018/exp049/exp046,,0,no,F,RBS,1," ""RBS.4 (weaker) -- derivative of BBa_0030"""
BB160,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0034,"Plate 4, 1N",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021,,0,no,F,RBS,1," ""RBS (Elowitz 1999) -- defines RBS efficiency"""
Bb161,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0012,"Plate 4, 1P",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021/exp033,,0,no,F,RBS,1," ""lacI repressor  from E. coli (+LVA)"""
BB162,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0040,"Plate 4, 3B",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021,,0,no,F,RBS,1," ""tetracycline repressor from transposon Tn10 (+LVA)"""
BB163,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_C0050,"Plate 4, 3D",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021,,0,no,F,Coding,1," ""cI repressor from phage HK022  (+LVA?)"""
BB164,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K819010,"Plate 1, F5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp008/exp033/exp054/exp051/exp050,10.7,4.458333333,,F,Coding,1," ""Medium cheZ generator"""
BB165,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608007,"Plate 1, G5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp008/exp033,20.1,8.375,,F,Coding,1," ""medium Promoter   weak RBS"""
BB166,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K934012,"Plate 1, H5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,,0,,F,Coding,1," ""Plas-LuxI"""
BB167,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,"BBa_K660004
","Plate 1, M7",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,,0,,F,Coding,1,
BB168,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K934022,"Plate 1, J5 ",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,,0,,F,Generator,1," ""Plux-LasI"""
BB169,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608010,"Plate 1, K5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,17.3,7.208333333,,T,Intermediate,2," ""Medium promoter with strong RBS and GFP"""
BB170,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K934026,"Plate 1, L5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp033,,0,,F,Composite,3," ""Plux-LacI"""
BB171,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608011,"Plate 1, M5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,15.9,6.625,,T,Reporter,1," ""Medium promoter with medium RBS and GFP"""
BB172,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733001,"Plate 1, N5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,13,5.416666667,,F,Composite,4," ""<i>Ptms</i> - a constitutive promoter in <i>E. coli</i> and <i>B. subtilis</i>."""
BB173,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K608012,"Plate 1, O5 ",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,19,7.916666667,,T,Regulatory,3," ""Medium promoter with weak RBS and GFP"""
BB174,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K733006,"Plate 1, P5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,,0,,F,Composite,5," ""<i>ydjM</i>+<i>Bmp2</i>"""
BB175,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575014,"Plate 1, A6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,20.7,8.625,,F,Regulatory,3," ""RhlR/PAI2 Inducible Promoter + RBS (B0030) + RFP"""
BB176,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523002,"Plate 1, B6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,14.1,5.875,,F,Regulatory,1," ""RBS + bglX (E. coli perisplasmic &#946;-glucosidase)"""
BB177,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,"BBa_K817002
","Plate 1, P7",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,,0,,F,Regulatory,3,
BB178,5.25.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523003,"Plate 1, D6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,24.4,10.16666667,,F,Coding,1," ""malS for BioSandwich"""
BB179,5.25.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575015,"Plate 1, E6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,21.2,8.833333333,,F,Composite,3," ""RhlR/PAI2 Inducible Promoter + RBS (B0034) + RFP"""
BB180,5.25.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523004,"Plate 1, F6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,29.5,12.29166667,,F,Translational_Unit,1," ""bglX for BioSandwich"""
BB181,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575020,"Plate 1, G6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,18.2,7.583333333,,F,Regulatory,1," ""Genomic LasR/PAI1 Inducible Promoter (Long)"""
BB182,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0010,"Plate 4, 16G",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,12.1,5.041666667,,F,Coding,1," ""T1 from E. coli rrnB"""
BB183,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13502,"Plate 4, 21H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,10.5,4.375,,F,Composite,3," ""Screening plasmid intermediate"""
BB184,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I13504,"Plate 4, 21J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,18.5,7.708333333,,F,Coding,1," ""Screening plasmid intermediate"""
BB185,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_I15017,"Plate 4, 21N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,28.1,11.70833333,,F,Regulatory,1," ""B0032.EYFP"""
BB186,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_B0025,"Plate 4, 16A",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,17.1,7.125,,F,Terminator,1," ""double terminator (B0015)  reversed"""
BB187,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_J61000,"Plate 4, 23N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021/exp054/exp051/exp050,4.31,1.795833333,,F,Translational_Unit,2," ""chloramphenicol resistance cassette"""
BB188,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0020,"Plate 4, 5B",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,5.56,2.316666667,,F,Reporter,4," ""engineered cyan fluorescent protein derived from A. victoria GFP """
BB189,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0022,"Plate 4, 5D",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,6.17,2.570833333,,F,Translational_Unit,2," "" enhanced cyan fluorescent protein derived from A. victoria GFP"""
BB190,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_E0032,"Plate 4, 5F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,5.96,2.483333333,,F,Generator,1," ""enhanced yellow fluorescent protein derived from A. victoria GFP"""
BB191,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0011,"Plate 4, 5H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,2.41,1.004166667,,F,Coding,1," ""Promoter (lacI regulated  lambda pL hybrid)"""
BB192,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0040,"Plate 4, 5J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,2.4,1,,F,Coding,1," ""TetR repressible promoter"""
BB193,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_J36335,"Plate 4, 5K",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,10.9,4.541666667,,F,Reporter,1," ""Lac+RBS+KaiA+Lac+RBS+KaiC"""
BB194,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0051,"Plate 4, 5L",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,2.1,0.875,,F,Reporter,1," ""promoter (lambda cI regulated)"""
BB195,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0053,"Plate 4, 5N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,2.83,1.179166667,,F,Reporter,1," ""Promoter (p22 cII regulated)"""
BB196,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,BBa_R0062,"Plate 4, 5P",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,3.26,1.358333333,,F,Regulatory,1," ""Promoter (luxR & HSL regulated -- lux pR)"""
BB197,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1033000,"Plate 4, 6C",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,7.67,3.195833333,,F,Regulatory,1," ""Tyrosine ammonia-lyase (TAL) with RBS"""
BB198,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1092001,"Plate 4, 6E",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,4.3,1.791666667,,F,Regulatory,1," ""T7-RBS-QsrR"""
BB199,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1104204,"Plate 4, 6G",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp007,3.97,1.654166667,,F,Regulatory,1," ""AhpCp2D1"""
BB200,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1166002,"Plate 4, 6I",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp033,11.9,4.958333333,,F,Composite,6," ""HlyA-tag+Secretion system"""
BB201,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1033910,"Plate 4, 6K",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,5.17,2.154166667,,F,Regulatory,1," ""fwYellow  yellow chromoprotein"""
BB202,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1033916,"Plate 4, 6M",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,6.87,2.8625,,F,Regulatory,1," ""amajLime  yellow-green chromoprotein"""
BB203,5.31.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K1150001,"Plate 4, 6O",spring 2018 iGEM distribution,Diya Bhat,,Orange Box,exp007,4.6,1.916666667,,F,Regulatory,1," ""VP16"""
BB204,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523006,"Plate 1, 6H",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp007,48.7,20.29166667,,F,Regulatory,1," ""Plac + LacZ + malS"""
BB205,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K575021,"Plate 1, 6I",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,15.3,6.375,,F,Coding,1," ""Genomic LasR/PAI1 Inducible Promoter (Short)"""
BB206,6.6.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K538101,"Plate 1, 6J",spring 2018 iGEM distribution,Noor Radde,,Orange Box,exp009,17.9,7.458333333,,F,Device,2," ""RBS + Cpn60"""
BB207,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,BBa_K523006,"Plate 1, 6K",spring 2018 iGEM distribution,Noor Radde,,Orange Box,,,0,,F,Regulatory,1," ""Plac + LacZ + malS"""
